transect_id,sample,sampling_date,season,CSI_transect,NCDOT_transect,origin,MOM_log_mean,MOM_log_sort,MOM_log_skew,MOM_log_kurt,FW_phi_mean,FW_phi_sort,FW_phi_skew,FW_phi_kurt,description,%vc_gravel,%c_gravel,%m_gravel,%f_gravel,%vf_gravel,%vc_sand,%c_sand,%m_sand,%f_sand,%vf_sand,
apr2012_T16N,S2,2012-04-17,spring,T16,NT74,NCDOT,0.36,0.58,-0.26,4.4,0.37,0.58,-0.04,1.38,Coarse Sand,0.0,0.0,0.0,0.004847388,0.011281644000000000,0.164314516,0.740927419,0.076612903,0.001513939,0.00050219,
apr2012_T16N,S3,2012-04-17,spring,T16,NT74,NCDOT,0.32,0.98,-0.12,2.06,0.36,1.04,-0.01,0.81,Coarse Sand,0.0,0.0,0.0,0.014671158,0.054467119,0.34468937900000000,0.294589178,0.27755511,0.014028056,0.0,
apr2012_T16N,S4,2012-04-17,spring,T16,NT74,NCDOT,1.17,0.52,-0.39,3.42,1.18,0.56,-0.05,0.83,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.01002004,0.385771543,0.573146293,0.029564612,0.0014975130000000000,
jul2012_C11N,S1,2012-07-12,summer,C11,NT59,NCDOT,-0.14,1.24,0.31,2.0,-0.46,1.15,1.03,0.35,Very Coarse Sand,0.0,0.0,0.0,0.275363759,0.24423423100000000,0.159798995,0.086432161,0.18793969800000000,0.046231156000000000,0.0,
jul2012_C11N,S2,2012-07-12,summer,C11,NT59,NCDOT,1.17,0.7,-1.21,5.14,1.21,0.69,-0.22,1.08,Medium Sand,0.0,0.0,0.0,0.003024295,0.008042103,0.055331992,0.267605634,0.606639839,0.058353778000000000,0.001002359,
jul2012_C11N,S3,2012-07-12,summer,C11,NT59,NCDOT,1.51,0.6,-0.04,6.0,1.48,0.58,0.08,1.26,Medium Sand,0.0,0.0,0.0,0.002430395,0.0016181880000000000,0.009109312,0.149797571,0.692307692,0.11801301200000000,0.02672383,
jul2012_C11N,S4,2012-07-12,summer,C11,NT59,NCDOT,1.54,0.53,-0.15,5.26,1.54,0.55,0.05,1.16,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.008064516000000000,0.115927419,0.708669355,0.157294909,0.010043801,
jul2012_C09N,S1,2012-07-12,summer,C09,NT60,NCDOT,0.36,1.27,-0.21,1.87,0.18,1.44,-0.13,0.68,Coarse Sand,0.0,0.0,0.0,0.10001138300000000,0.14570865800000000,0.181268882,0.176233635,0.32024169200000000,0.07503069700000000,0.001505053,
jul2012_C09N,S2,2012-07-12,summer,C09,NT60,NCDOT,1.25,0.69,-0.51,4.88,1.25,0.69,-0.05,1.08,Medium Sand,0.0,0.0,0.0,0.001008115,0.00401701,0.036180905,0.292462312,0.578894472,0.073418261,0.014018925,
jul2012_C09N,S3,2012-07-12,summer,C09,NT60,NCDOT,1.33,0.62,-0.68,4.77,1.33,0.65,-0.06,1.05,Medium Sand,0.0,0.0,0.0,0.002620186,0.002415061,0.01611279,0.26183283,0.5961732120000000,0.119842553,0.001003369,
